TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,date
28,29,Killers of the Flower Moon,12875,7.6,-65.9,50,257,67213399,65,Paramount Pictures,2023-12-23
29,31,Anatomy of a Fall,9751,46.1,-31.4,24,406,3684499,72,N/A,2023-12-23
30,26,Memory,9335,-58.4,0.0,2,4667,31799,2,Ketchup Entertainment,2023-12-23
31,30,Radical,7874,15.8,-66.9,42,187,8596965,51,Pantelion Films,2023-12-23
32,33,The Oath,6382,47.9,-72.1,16,398,448459,16,Freestyle Releasing,2023-12-23
33,32,Priscilla,4221,-25.2,-77.7,28,150,20874774,58,A24,2023-12-23
34,34,Eileen,3090,2.3,-96.1,20,154,1411291,23,N/A,2023-12-23
35,35,Oppenheimer,2060,27.2,-79.8,17,121,326080130,156,Universal Pictures,2023-12-23
36,38,Stop Making Sense2023  Re-release,743,115.4,-2.0,9,82,5092341,93,N/A,2023-12-23
37,36,Barbie,492,-20.6,-67.5,16,30,636221565,156,Warner Bros.,2023-12-23
38,37,Past Lives,477,18.1,-40.5,5,95,11025210,205,A24,2023-12-23
39,39,Peeping Tom2023 Re-release,428,43.1,-46.3,2,214,24796,58,N/A,2023-12-23
40,40,Smoke Sauna Sisterhood,138,35.3,-92.5,1,138,13759,30,Greenwich Entertainment,2023-12-23
41,41,After Death,85,325.0,-48.5,9,9,11476955,58,Angel Studios,2023-12-23
1,1,Aquaman and the Lost Kingdom,5001421,-44.4,0.0,3706,1349,27686211,3,Warner Bros.,2023-12-24
2,2,Wonka,4540960,-35.4,-57.0,4213,1077,75554395,10,Warner Bros.,2023-12-24
3,3,Migration,2542775,-38.9,0.0,3761,676,12453275,3,Universal Pictures,2023-12-24
4,5,The Iron Claw,818330,-47.3,0.0,2774,295,4868370,3,A24,2023-12-24
5,10,Dunki,818294,-15.9,0.0,551,1485,3591931,4,Yash Raj Films USA Inc.,2023-12-24
6,4,Anyone But You,754826,-57.3,0.0,3055,247,6000344,3,Columbia Pictures,2023-12-24
7,9,Salaar,727258,-30.6,0.0,802,906,5618511,3,N/A,2023-12-24
8,7,The Boy and the Heron,653498,-42.7,-66.3,1580,413,30216450,17,GKIDS,2023-12-24
9,6,The Hunger Games: The Ballad of Songbirds & Snakes,602529,-50.4,-66.0,2509,240,152374015,38,Lionsgate Films,2023-12-24
10,8,Godzilla Minus One,561433,-50.4,-65.6,1965,285,40262365,24,N/A,2023-12-24
11,12,Poor Things,408966,-41.4,10.0,800,511,5059120,17,Searchlight Pictures,2023-12-24
12,11,Trolls Band Together,320210,-55.7,-75.2,1639,195,92928805,38,Universal Pictures,2023-12-24
13,13,Wish,239270,-47.6,-76.5,1740,137,57467632,33,Walt Disney Studios Motion Pictures,2023-12-24
14,14,Napoleon,184167,-44.6,-73.0,1002,183,59236344,33,Columbia Pictures,2023-12-24
15,15,Renaissance: A Film by Beyoncé,143504,-41.0,-77.5,397,361,32286020,24,N/A,2023-12-24
16,16,American Fiction,92170,-26.3,107.6,40,2304,750821,10,MetroN/AGoldwynN/AMayer (MGM),2023-12-24
17,19,Animal,89641,-6.4,-68.1,131,684,14417782,24,N/A,2023-12-24
18,18,The Holdovers,64360,-37.7,-45.7,316,203,17731790,59,Focus Features,2023-12-24
19,17,The Shift,41876,-62.0,-86.6,380,110,11649649,24,Angel Studios,2023-12-24
20,21,Silent Night,26397,-37.2,-87.9,203,130,7908754,24,Lionsgate Films,2023-12-24
21,20,Saltburn,24906,-61.4,-89.4,267,93,10970725,38,Warner Bros.,2023-12-24
22,22,All of Us Strangers,14738,-61.8,0.0,4,3684,117965,3,Searchlight Pictures,2023-12-24
23,23,The Zone of Interest,13944,-57.1,-59.4,6,2324,293033,17,A24,2023-12-24
24,24,Taylor Swift: The Eras Tour,11782,-58.4,-76.6,636,18,180283255,73,N/A,2023-12-24
25,26,The Marvels,11286,-52.6,-93.1,220,51,84416778,45,Walt Disney Studios Motion Pictures,2023-12-24
26,28,Killers of the Flower Moon,9615,-25.3,-69.2,50,192,67223014,66,Paramount Pictures,2023-12-24
27,25,Thanksgiving,7702,-70.2,-94.8,171,45,31755051,38,TriStar Pictures,2023-12-24
28,29,Anatomy of a Fall,5356,-45.1,-59.3,24,223,3689855,73,N/A,2023-12-24
29,27,Journey to Bethlehem,4996,-66.8,-80.2,73,68,6791901,45,Affirm Films,2023-12-24
30,30,Memory,4557,-51.2,0.0,2,2278,36356,3,Ketchup Entertainment,2023-12-24
31,31,Radical,3169,-59.8,-86.2,42,75,8600134,52,Pantelion Films,2023-12-24
32,33,Priscilla,2876,-31.9,-82.8,28,102,20877650,59,A24,2023-12-24
33,34,Eileen,2145,-30.6,-96.7,20,107,1413436,24,N/A,2023-12-24
34,38,Past Lives,1404,194.3,69.8,5,280,11026614,206,A24,2023-12-24
35,36,Stop Making Sense2023  Re-release,556,-25.2,-85.9,9,61,5092897,94,N/A,2023-12-24
36,32,The Oath,515,-91.9,-91.2,16,32,448974,17,Freestyle Releasing,2023-12-24
37,35,Oppenheimer,505,-75.5,-93.1,17,29,326080635,157,Universal Pictures,2023-12-24
38,39,Peeping Tom2023 Re-release,225,-47.4,90.7,2,112,25021,59,N/A,2023-12-24
39,37,Barbie,66,-86.6,-96.5,16,4,636221631,157,Warner Bros.,2023-12-24
40,40,Smoke Sauna Sisterhood,63,-54.3,-96.3,1,63,13822,31,Greenwich Entertainment,2023-12-24
1,-,The Color Purple,18151050,0.0,0.0,3152,5758,18151050,1,Warner Bros.,2023-12-25
2,1,Aquaman and the Lost Kingdom,10447605,108.9,0.0,3706,2819,38133816,4,Warner Bros.,2023-12-25
3,2,Wonka,10003945,120.3,149.9,4213,2374,85558340,11,Warner Bros.,2023-12-25
4,-,The Boys in the Boat,5714382,0.0,0.0,2557,2234,5714382,1,N/A,2023-12-25
5,3,Migration,5359780,110.8,0.0,3761,1425,17813055,4,Universal Pictures,2023-12-25
6,-,Ferrari,2876285,0.0,0.0,2330,1234,2876285,1,Neon,2023-12-25
7,6,Anyone But You,2048742,171.4,0.0,3055,670,8049086,4,Columbia Pictures,2023-12-25
8,4,The Iron Claw,1930705,135.9,0.0,2774,696,6799075,4,A24,2023-12-25
9,9,The Hunger Games: The Ballad of Songbirds & Snakes,1072151,77.9,17.5,1680,638,153446166,39,Lionsgate Films,2023-12-25
10,5,Dunki,941131,15.0,0.0,551,1708,4533062,5,Yash Raj Films USA Inc.,2023-12-25
11,7,Salaar,833005,14.5,0.0,802,1038,6451516,4,N/A,2023-12-25
12,11,Poor Things,810911,98.3,360.2,800,1013,5870031,18,Searchlight Pictures,2023-12-25
13,8,The Boy and the Heron,718884,10.0,-18.1,900,798,30935334,18,GKIDS,2023-12-25
14,10,Godzilla Minus One,718634,28.0,1.3,1965,365,40980999,25,N/A,2023-12-25
15,12,Trolls Band Together,413360,29.1,-19.1,1639,252,93342165,39,Universal Pictures,2023-12-25
16,13,Wish,275744,15.2,-30.2,1240,222,57743376,34,Walt Disney Studios Motion Pictures,2023-12-25
17,14,Napoleon,191058,3.7,-40.6,750,254,59427402,34,Columbia Pictures,2023-12-25
18,16,American Fiction,162950,76.8,516.4,40,4073,913771,11,MetroN/AGoldwynN/AMayer (MGM),2023-12-25
19,15,Renaissance: A Film by Beyoncé,93351,-34.9,-50.7,397,235,32379371,25,N/A,2023-12-25
20,18,The Holdovers,83705,30.1,34.1,316,264,17815495,60,Focus Features,2023-12-25
21,17,Animal,79468,-11.3,-32.6,131,606,14497250,25,N/A,2023-12-25
22,19,The Shift,41349,-1.3,-76.8,100,413,11690998,25,Angel Studios,2023-12-25
23,21,Saltburn,39395,58.2,-76.6,267,147,11010120,39,Warner Bros.,2023-12-25
24,22,All of Us Strangers,35307,139.6,0.0,6,5884,153272,4,Searchlight Pictures,2023-12-25
25,20,Silent Night,24055,-8.9,-78.1,203,118,7932809,25,Lionsgate Films,2023-12-25
26,24,Taylor Swift: The Eras Tour,22040,87.1,20.7,636,34,180305295,74,N/A,2023-12-25
27,23,The Zone of Interest,19351,38.8,-17.4,6,3225,312384,18,A24,2023-12-25
28,26,Killers of the Flower Moon,12420,29.2,-27.7,50,248,67235434,67,Paramount Pictures,2023-12-25
29,25,The Marvels,8239,-27.0,-89.4,110,74,84425017,46,Walt Disney Studios Motion Pictures,2023-12-25
30,31,Radical,8166,157.7,9.5,42,194,8608300,53,Pantelion Films,2023-12-25
31,28,Anatomy of a Fall,7505,40.1,15.2,24,312,3697360,74,N/A,2023-12-25
32,-,Freud's Last Session,6850,0.0,0.0,5,1370,42903,4,Sony Pictures Releasing,2023-12-25
33,-,The Teachers' Lounge,6332,0.0,0.0,3,2110,6332,1,Sony Pictures Releasing,2023-12-25
34,27,Thanksgiving,5730,-25.6,-92.1,86,66,31760781,39,TriStar Pictures,2023-12-25
35,29,Journey to Bethlehem,5087,1.8,-79.8,58,87,6796988,46,Affirm Films,2023-12-25
36,30,Memory,3169,-30.5,0.0,2,1584,39525,4,Ketchup Entertainment,2023-12-25
37,32,Priscilla,2811,-2.3,-72.5,28,100,20880461,60,A24,2023-12-25
38,36,The Oath,2495,384.5,-77.8,16,155,451469,18,Freestyle Releasing,2023-12-25
39,33,Eileen,1948,-9.2,-95.4,20,97,1415384,25,N/A,2023-12-25
40,37,Oppenheimer,1350,167.3,-66.0,17,79,326081985,158,Universal Pictures,2023-12-25
41,34,Past Lives,640,-54.4,82.9,5,128,11027254,207,A24,2023-12-25
42,35,Stop Making Sense2023  Re-release,213,-61.7,-72.5,9,23,5093110,95,N/A,2023-12-25
43,39,Barbie,183,177.3,-84.4,16,11,636221814,158,Warner Bros.,2023-12-25
44,40,Smoke Sauna Sisterhood,111,76.2,-25.5,1,111,13933,32,Greenwich Entertainment,2023-12-25
1,3,Wonka,8970413,-10.3,51.9,4213,2129,94528753,12,Warner Bros.,2023-12-26
2,2,Aquaman and the Lost Kingdom,8350556,-20.1,0.0,3706,2253,46484372,5,Warner Bros.,2023-12-26
3,1,The Color Purple,7002825,-61.4,0.0,3152,2221,25153875,2,Warner Bros.,2023-12-26
4,5,Migration,6524060,21.7,0.0,3761,1734,24337115,5,Universal Pictures,2023-12-26
5,4,The Boys in the Boat,3010382,-47.3,0.0,2557,1177,8724764,2,N/A,2023-12-26
6,7,Anyone But You,2610385,27.4,0.0,3055,854,10659471,5,Columbia Pictures,2023-12-26
7,8,The Iron Claw,1708784,-11.5,0.0,2774,616,8507859,5,A24,2023-12-26
8,6,Ferrari,1545818,-46.3,0.0,2330,663,4422103,2,Neon,2023-12-26
9,9,The Hunger Games: The Ballad of Songbirds & Snakes,1213462,13.2,1.3,1680,722,154659628,40,Lionsgate Films,2023-12-26
10,13,The Boy and the Heron,852177,18.5,-22.3,900,946,31787511,19,GKIDS,2023-12-26
11,14,Godzilla Minus One,822376,14.4,-11.4,1965,418,41803375,26,N/A,2023-12-26
12,12,Poor Things,729213,-10.1,252.8,800,911,6599244,19,Searchlight Pictures,2023-12-26
13,10,Dunki,696257,-26.0,0.0,551,1263,5229319,6,Yash Raj Films USA Inc.,2023-12-26
14,15,Trolls Band Together,689490,66.8,-8.2,1639,420,94031655,40,Universal Pictures,2023-12-26
15,11,Salaar,540238,-35.1,0.0,802,673,6991754,5,N/A,2023-12-26
16,16,Wish,462555,67.7,-27.0,1240,373,58205931,35,Walt Disney Studios Motion Pictures,2023-12-26
17,17,Napoleon,194463,1.8,-54.6,750,259,59621865,35,Columbia Pictures,2023-12-26
18,19,Renaissance: A Film by Beyoncé,140769,50.8,-42.6,397,354,32520140,26,N/A,2023-12-26
19,18,American Fiction,103050,-36.8,302.7,40,2576,1016821,12,MetroN/AGoldwynN/AMayer (MGM),2023-12-26
20,20,The Holdovers,67520,-19.3,-23.6,316,213,17883015,61,Focus Features,2023-12-26
21,21,Animal,61817,-22.2,-68.4,131,471,14559067,26,N/A,2023-12-26
22,23,Saltburn,50518,28.2,-73.0,267,189,11060638,40,Warner Bros.,2023-12-26
23,22,The Shift,39975,-3.3,-81.7,100,399,11730973,26,Angel Studios,2023-12-26
24,26,Taylor Swift: The Eras Tour,39065,77.2,60.6,636,61,180344360,75,N/A,2023-12-26
25,24,All of Us Strangers,22931,-35.1,0.0,6,3821,176203,5,Searchlight Pictures,2023-12-26
26,27,The Zone of Interest,20103,3.9,-2.9,6,3350,332487,19,A24,2023-12-26
27,25,Silent Night,16639,-30.8,-89.2,203,81,7949448,26,Lionsgate Films,2023-12-26
28,29,The Marvels,8948,8.6,-91.4,110,81,84433965,47,Walt Disney Studios Motion Pictures,2023-12-26
29,28,Killers of the Flower Moon,8599,-30.8,-57.2,50,171,67244033,68,Paramount Pictures,2023-12-26
30,31,Anatomy of a Fall,6397,-14.8,-18.3,24,266,3703757,75,N/A,2023-12-26
31,34,Thanksgiving,6322,10.3,-92.6,86,73,31767103,40,TriStar Pictures,2023-12-26
32,40,Oppenheimer,5885,335.9,4.0,17,346,326087870,159,Universal Pictures,2023-12-26
33,30,Radical,5334,-34.7,-55.0,42,127,8613634,54,Pantelion Films,2023-12-26
34,35,Journey to Bethlehem,3592,-29.4,-89.7,58,61,6800580,47,Affirm Films,2023-12-26
35,32,Freud's Last Session,3501,-48.9,0.0,5,700,46404,5,Sony Pictures Releasing,2023-12-26
36,33,The Teachers' Lounge,3483,-45.0,0.0,3,1161,9815,2,Sony Pictures Releasing,2023-12-26
37,37,Priscilla,3206,14.1,-73.5,28,114,20883667,61,A24,2023-12-26
38,38,The Oath,3175,27.3,-79.5,16,198,454644,19,Freestyle Releasing,2023-12-26
39,36,Memory,2107,-33.5,0.0,2,1053,41632,5,Ketchup Entertainment,2023-12-26
40,39,Eileen,1831,-6.0,-96.3,20,91,1417215,26,N/A,2023-12-26
41,41,Past Lives,722,12.8,-49.4,5,144,11027976,208,A24,2023-12-26
42,43,Barbie,678,270.5,-21.5,16,42,636222492,159,Warner Bros.,2023-12-26
43,42,Stop Making Sense2023  Re-release,345,62.0,-63.5,9,38,5093455,96,N/A,2023-12-26
44,-,After Death,120,0.0,41.2,9,13,11477075,61,Angel Studios,2023-12-26
45,44,Smoke Sauna Sisterhood,84,-24.3,-42.5,1,84,14017,33,Greenwich Entertainment,2023-12-26
1,1,Wonka,8135639,-9.3,85.4,4213,1931,102664392,13,Warner Bros.,2023-12-27
2,4,Migration,6259960,-4.0,0.0,3761,1664,30597075,6,Universal Pictures,2023-12-27
3,2,Aquaman and the Lost Kingdom,5951017,-28.7,0.0,3706,1605,52435389,6,Warner Bros.,2023-12-27
4,3,The Color Purple,3866600,-44.8,0.0,3152,1226,29020475,3,Warner Bros.,2023-12-27
5,6,Anyone But You,2624607,0.5,0.0,3055,859,13284078,6,Columbia Pictures,2023-12-27
6,5,The Boys in the Boat,2465542,-18.1,0.0,2557,964,11190306,3,N/A,2023-12-27
7,7,The Iron Claw,1409192,-17.5,0.0,2774,508,9917051,6,A24,2023-12-27
8,8,Ferrari,1229598,-20.5,0.0,2330,527,5651701,3,Neon,2023-12-27
9,9,The Hunger Games: The Ballad of Songbirds & Snakes,1106526,-8.8,6.3,1680,658,155766154,41,Lionsgate Films,2023-12-27
10,10,The Boy and the Heron,843947,-1.0,-21.0,900,937,32631458,20,GKIDS,2023-12-27
11,11,Godzilla Minus One,763697,-7.1,-10.3,1965,388,42567072,27,N/A,2023-12-27
12,14,Trolls Band Together,754175,9.4,9.5,1639,460,94785830,41,Universal Pictures,2023-12-27
13,12,Poor Things,692835,-5.0,268.4,800,866,7292079,20,Searchlight Pictures,2023-12-27
14,16,Wish,515921,11.5,-11.2,1240,416,58721852,36,Walt Disney Studios Motion Pictures,2023-12-27
15,13,Dunki,470579,-32.4,0.0,551,854,5699898,7,Yash Raj Films USA Inc.,2023-12-27
16,15,Salaar,311040,-42.4,0.0,802,387,7302794,6,N/A,2023-12-27
17,17,Napoleon,190556,-2.0,-50.6,750,254,59812421,36,Columbia Pictures,2023-12-27
18,18,Renaissance: A Film by Beyoncé,137251,-2.5,-46.3,397,345,32657391,27,N/A,2023-12-27
19,19,American Fiction,109949,6.7,317.5,40,2748,1126770,13,MetroN/AGoldwynN/AMayer (MGM),2023-12-27
20,20,The Holdovers,60315,-10.7,-24.7,316,190,17943330,62,Focus Features,2023-12-27
21,22,Saltburn,52917,4.7,-69.9,267,198,11113555,41,Warner Bros.,2023-12-27
22,21,Animal,49830,-19.4,-57.9,131,380,14608897,27,N/A,2023-12-27
23,24,Taylor Swift: The Eras Tour,38708,-0.9,25.7,636,60,180383068,76,N/A,2023-12-27
24,23,The Shift,32787,-18.0,-83.4,100,327,11763760,27,Angel Studios,2023-12-27
25,25,All of Us Strangers,27802,21.2,0.0,6,4633,204005,6,Searchlight Pictures,2023-12-27
26,26,The Zone of Interest,20804,3.5,10.8,6,3467,353291,20,A24,2023-12-27
27,27,Silent Night,12045,-27.6,-91.3,203,59,7961493,27,Lionsgate Films,2023-12-27
28,29,Killers of the Flower Moon,9750,13.4,-52.5,50,195,67253783,69,Paramount Pictures,2023-12-27
29,28,The Marvels,8087,-9.6,-91.4,110,73,84442052,48,Walt Disney Studios Motion Pictures,2023-12-27
30,30,Anatomy of a Fall,7954,24.3,11.7,24,331,3711711,76,N/A,2023-12-27
31,31,Thanksgiving,5961,-5.7,-92.3,86,69,31773064,41,TriStar Pictures,2023-12-27
32,39,Memory,5203,146.9,0.0,2,2601,46835,6,Ketchup Entertainment,2023-12-27
33,37,Priscilla,4121,28.5,-66.3,28,147,20887788,62,A24,2023-12-27
34,33,Radical,4036,-24.3,-52.9,42,96,8617670,55,Pantelion Films,2023-12-27
35,35,Freud's Last Session,3994,14.1,0.0,5,798,50398,6,Sony Pictures Releasing,2023-12-27
36,36,The Teachers' Lounge,3269,-6.1,0.0,3,1089,13084,3,Sony Pictures Releasing,2023-12-27
37,34,Journey to Bethlehem,2934,-18.3,-91.0,58,50,6803514,48,Affirm Films,2023-12-27
38,38,The Oath,2817,-11.3,-74.6,16,176,457461,20,Freestyle Releasing,2023-12-27
39,40,Eileen,1996,9.0,-95.8,20,99,1419211,27,N/A,2023-12-27
40,43,Stop Making Sense2023  Re-release,1540,346.4,65.9,9,171,5094995,97,N/A,2023-12-27
41,32,Oppenheimer,1260,-78.6,-80.9,17,74,326089130,160,Universal Pictures,2023-12-27
42,42,Barbie,890,31.3,-11.1,16,55,636223382,160,Warner Bros.,2023-12-27
43,41,Past Lives,798,10.5,33.7,5,159,11028774,209,A24,2023-12-27
44,44,After Death,135,12.5,107.7,9,15,11477210,62,Angel Studios,2023-12-27
45,45,Smoke Sauna Sisterhood,66,-21.4,-71.8,1,66,14083,34,Greenwich Entertainment,2023-12-27
1,1,Wonka,7988504,-1.8,90.1,4213,1896,110652896,14,Warner Bros.,2023-12-28
2,2,Migration,6495570,3.8,0.0,3761,1727,37092645,7,Universal Pictures,2023-12-28
3,3,Aquaman and the Lost Kingdom,5762704,-3.2,0.0,3706,1554,58198093,7,Warner Bros.,2023-12-28
4,4,The Color Purple,3290095,-14.9,0.0,3152,1043,32310570,4,Warner Bros.,2023-12-28
5,5,Anyone But You,2801336,6.7,0.0,3055,916,16085414,7,Columbia Pictures,2023-12-28
6,6,The Boys in the Boat,2407618,-2.3,0.0,2557,941,13597924,4,N/A,2023-12-28
7,7,The Iron Claw,1398096,-0.8,0.0,2774,504,11315147,7,A24,2023-12-28
8,8,Ferrari,1205006,-2.0,0.0,2330,517,6856707,4,Neon,2023-12-28
9,9,The Hunger Games: The Ballad of Songbirds & Snakes,1080320,-2.4,14.5,1680,643,156846474,42,Lionsgate Films,2023-12-28
10,10,The Boy and the Heron,832360,-1.4,-7.1,900,924,33463818,21,GKIDS,2023-12-28
11,12,Trolls Band Together,793610,5.2,35.4,1639,484,95579440,42,Universal Pictures,2023-12-28
12,11,Godzilla Minus One,734329,-3.8,3.3,1965,373,43301401,28,N/A,2023-12-28
13,13,Poor Things,713105,2.9,408.3,800,891,8005184,21,Searchlight Pictures,2023-12-28
14,14,Wish,548731,6.4,10.1,1240,442,59270583,37,Walt Disney Studios Motion Pictures,2023-12-28
15,15,Dunki,385712,-18.0,-56.0,551,700,6085610,8,Yash Raj Films USA Inc.,2023-12-28
16,16,Salaar,267256,-14.1,0.0,802,333,7570050,7,N/A,2023-12-28
17,17,Napoleon,192781,1.2,-21.4,750,257,59983337,37,Columbia Pictures,2023-12-28
18,18,Renaissance: A Film by Beyoncé,130894,-4.6,-28.5,397,329,32788285,28,N/A,2023-12-28
19,19,American Fiction,118096,7.4,527.8,40,2952,1244866,14,MetroN/AGoldwynN/AMayer (MGM),2023-12-28
20,20,The Holdovers,61535,2.0,0.0,316,194,18004865,63,Focus Features,2023-12-28
21,21,Saltburn,57272,8.2,-47.6,267,214,11170827,42,Warner Bros.,2023-12-28
22,22,Animal,45274,-9.1,-36.0,131,345,14654171,28,N/A,2023-12-28
23,23,Taylor Swift: The Eras Tour,42721,10.4,115.9,636,67,180425789,77,N/A,2023-12-28
24,24,The Shift,33315,1.6,-71.5,100,333,11797075,28,Angel Studios,2023-12-28
25,25,All of Us Strangers,28904,4.0,0.0,6,4817,232909,7,Searchlight Pictures,2023-12-28
26,26,The Zone of Interest,24154,16.1,38.3,6,4025,377445,21,A24,2023-12-28
27,28,Killers of the Flower Moon,10976,12.6,-10.2,50,219,67264759,70,Paramount Pictures,2023-12-28
28,27,Silent Night,10495,-12.9,-87.9,203,51,7971988,28,Lionsgate Films,2023-12-28
29,29,The Marvels,8895,10.0,-84.2,110,80,84450947,49,Walt Disney Studios Motion Pictures,2023-12-28
30,30,Anatomy of a Fall,8696,9.3,19.7,24,362,3720407,77,N/A,2023-12-28
31,32,Memory,6765,30.0,0.0,2,3382,53600,7,Ketchup Entertainment,2023-12-28
32,37,Journey to Bethlehem,6252,113.1,-75.8,58,107,6809766,49,Affirm Films,2023-12-28
33,31,Thanksgiving,5974,0.2,-80.7,86,69,31779038,42,TriStar Pictures,2023-12-28
34,41,Oppenheimer,4855,285.3,135.7,17,285,326093985,161,Universal Pictures,2023-12-28
35,33,Priscilla,3907,-5.2,-48.9,28,139,20891695,63,A24,2023-12-28
36,38,The Oath,3732,32.5,-50.9,16,233,461193,21,Freestyle Releasing,2023-12-28
37,36,The Teachers' Lounge,3557,8.8,0.0,3,1185,16641,4,Sony Pictures Releasing,2023-12-28
38,34,Radical,3548,-12.1,-42.3,42,84,8621218,56,Pantelion Films,2023-12-28
39,35,Freud's Last Session,3504,-12.3,0.0,5,700,53902,7,Sony Pictures Releasing,2023-12-28
40,40,Stop Making Sense2023  Re-release,3035,97.1,433.4,9,337,5098030,98,N/A,2023-12-28
41,39,Eileen,1796,-10.0,-93.0,20,89,1421007,28,N/A,2023-12-28
42,42,Barbie,641,-28.0,-49.4,16,40,636224023,161,Warner Bros.,2023-12-28
43,43,Past Lives,284,-64.4,-56.1,5,56,11029058,210,A24,2023-12-28
44,-,Peeping Tom2023 Re-release,186,0.0,-32.4,2,93,25207,63,N/A,2023-12-28
45,45,Smoke Sauna Sisterhood,183,177.3,-55.0,1,183,14266,35,Greenwich Entertainment,2023-12-28
46,44,After Death,135,0.0,285.7,9,15,11477345,63,Angel Studios,2023-12-28
1,1,Wonka,8630268,8.0,33.1,4051,2130,119283164,15,Warner Bros.,2023-12-29
2,3,Aquaman and the Lost Kingdom,6755263,17.2,-50.6,3787,1783,64953356,8,Warner Bros.,2023-12-29
3,2,Migration,6734735,3.7,17.2,3839,1754,43827380,8,Universal Pictures,2023-12-29
4,4,The Color Purple,4130354,25.5,0.0,3203,1289,36440924,5,Warner Bros.,2023-12-29
5,5,Anyone But You,3302093,17.9,-5.0,3055,1080,19387507,8,Columbia Pictures,2023-12-29
6,6,The Boys in the Boat,2748434,14.2,0.0,2557,1074,16346358,5,N/A,2023-12-29
7,7,The Iron Claw,1704340,21.9,-31.7,2794,610,13019487,8,A24,2023-12-29
8,8,Ferrari,1373607,14.0,0.0,2386,575,8230314,5,Neon,2023-12-29
9,9,The Hunger Games: The Ballad of Songbirds & Snakes,1100008,1.8,-8.4,1660,662,157946482,43,Lionsgate Films,2023-12-29
10,10,The Boy and the Heron,869307,4.4,-12.7,940,924,34333125,22,GKIDS,2023-12-29
11,12,Godzilla Minus One,835119,13.7,-12.2,1180,707,44136520,29,N/A,2023-12-29
12,13,Poor Things,811999,13.9,-19.7,800,1014,8817183,22,Searchlight Pictures,2023-12-29
13,11,Trolls Band Together,779120,-1.8,5.8,1517,513,96358560,43,Universal Pictures,2023-12-29
14,14,Wish,521647,-4.9,21.9,1265,412,59792230,38,Walt Disney Studios Motion Pictures,2023-12-29
15,15,Dunki,366589,-5.0,-60.3,478,766,6452199,9,Yash Raj Films USA Inc.,2023-12-29
16,16,Salaar,277226,3.7,-92.8,540,513,7847276,8,N/A,2023-12-29
17,17,Napoleon,185067,-4.0,-35.9,750,246,60005202,38,Columbia Pictures,2023-12-29
18,18,Renaissance: A Film by Beyoncé,166955,27.5,-24.6,251,665,32955240,29,N/A,2023-12-29
19,19,American Fiction,138240,17.1,-34.8,40,3456,1383106,15,MetroN/AGoldwynN/AMayer (MGM),2023-12-29
20,20,The Holdovers,67020,8.9,-7.8,237,282,18071885,64,Focus Features,2023-12-29
21,23,Taylor Swift: The Eras Tour,47226,10.5,98.9,157,300,180473015,78,N/A,2023-12-29
22,25,All of Us Strangers,44824,55.1,-30.7,6,7470,277733,8,Searchlight Pictures,2023-12-29
23,24,The Shift,44015,32.1,-58.2,170,258,11841090,29,Angel Studios,2023-12-29
24,22,Animal,41946,-7.4,-48.9,49,856,14696117,29,N/A,2023-12-29
25,21,Saltburn,37347,-34.8,-50.9,112,333,11208174,43,Warner Bros.,2023-12-29
26,26,The Zone of Interest,34470,42.7,-4.9,6,5745,411915,22,A24,2023-12-29
27,29,The Marvels,9596,7.9,-50.3,160,59,84460543,50,Walt Disney Studios Motion Pictures,2023-12-29
28,30,Anatomy of a Fall,9334,7.3,39.9,15,622,3729741,78,N/A,2023-12-29
29,28,Silent Night,9045,-13.8,-75.3,64,141,7981033,29,Lionsgate Films,2023-12-29
30,31,Memory,8758,29.5,-61.0,2,4379,62358,8,Ketchup Entertainment,2023-12-29
31,-,Dream Scenario,8566,0.0,0.0,36,237,5599820,50,A24,2023-12-29
32,27,Killers of the Flower Moon,8484,-22.7,-29.1,37,229,67273243,71,Paramount Pictures,2023-12-29
33,33,Thanksgiving,8437,41.2,-66.9,65,129,31787475,43,TriStar Pictures,2023-12-29
34,38,Radical,4974,40.2,-26.9,14,355,8626192,57,Pantelion Films,2023-12-29
35,32,Journey to Bethlehem,3108,-50.3,-80.5,40,77,6812874,50,Affirm Films,2023-12-29
36,34,Oppenheimer,3010,-38.0,85.8,25,120,326096995,162,Universal Pictures,2023-12-29
37,36,The Oath,2875,-23.0,-33.4,16,179,464068,22,Freestyle Releasing,2023-12-29
38,35,Priscilla,2767,-29.2,-51.0,15,184,20894462,64,A24,2023-12-29
39,41,Eileen,2493,38.8,-17.5,11,226,1423500,29,N/A,2023-12-29
40,40,Stop Making Sense2023  Re-release,802,-73.6,132.5,8,100,5098832,99,N/A,2023-12-29
41,43,Past Lives,690,143.0,70.8,4,172,11029748,211,A24,2023-12-29
42,42,Barbie,655,2.2,5.6,16,40,636224678,162,Warner Bros.,2023-12-29
43,46,After Death,137,1.5,585.0,9,15,11477482,64,Angel Studios,2023-12-29
44,45,Smoke Sauna Sisterhood,77,-57.9,-24.5,1,77,14343,36,Greenwich Entertainment,2023-12-29
1,1,Wonka,8637841,0.1,22.9,4051,2132,127921005,16,Warner Bros.,2023-12-30
2,2,Aquaman and the Lost Kingdom,7500090,11.0,-16.7,3787,1980,72453446,9,Warner Bros.,2023-12-30
3,3,Migration,6387990,-5.1,53.5,3839,1663,50215370,9,Universal Pictures,2023-12-30
